Sample,day,MPN,MPN_adj,variance,var_log,LB,UB,RI
A0A,4,1151292.5955471257,549049.2108114486,1012500.0393865786,0.763877337523075,207603.61492525824,6384641.42851673,1
A0B,4,307080.2436399549,137271.94839442952,83290.90651093343,0.8832707236442491,48671.14073352286,1937457.692850518,1
A0C,4,307080.2436399549,137271.94839442952,83290.90651093343,0.8832707236442491,48671.14073352286,1937457.692850518,1
C0A,4,11512930.00557143,5490488.962476596,101250104.17873871,0.7638775563362682,2076036.3702273706,63846452.410017334,1
C0B,4,3070802.768697828,1372719.5314068515,8329093.042796864,0.8832707861146273,486711.42829913483,19374580.287123717,1
C0C,4,11512930.00557143,5490488.962476596,101250104.17873871,0.7638775563362682,2076036.3702273706,63846452.410017334,1
CTRL,4,0,0,NA,NA,0,22.467992051677395,1
P0A,4,0,0,NA,NA,0,67.40397615503218,1
P0B,4,0,0,NA,NA,0,67.40397615503218,1
P0C,4,0,0,NA,NA,0,67.40397615503218,1
