Sample,day,column,Measure_diff_fixed,Positive_growth,n
A0A,4,1,0.3765,2,2
A0A,4,2,0.45299999999999996,2,2
A0A,4,3,0.476,2,2
A0A,4,4,0.35100000000000003,2,2
A0A,4,5,0.288,2,2
A0A,4,6,0.030999999999999986,0,2
A0A,4,7,-0.03349999999999999,0,2
A0A,4,8,-0.0335,0,2
A0A,4,9,-0.0335,0,2
A0A,4,10,-0.0315,0,2
A0A,4,11,-0.034499999999999975,0,2
A0A,4,12,-0.01899999999999999,0,2
A0B,4,1,0.4895,2,2
A0B,4,2,0.32800000000000007,2,2
A0B,4,3,0.3665,2,2
A0B,4,4,0.41500000000000004,2,2
A0B,4,5,0.12900000000000003,1,2
A0B,4,6,0.12499999999999997,0,2
A0B,4,7,0.046999999999999986,0,2
A0B,4,8,0.05700000000000002,0,2
A0B,4,9,-0.03299999999999999,0,2
A0B,4,10,-0.03749999999999998,0,2
A0B,4,11,-0.03699999999999998,0,2
A0B,4,12,-0.040499999999999994,0,2
A0C,4,1,0.6695,2,2
A0C,4,2,0.521,2,2
A0C,4,3,0.3655,2,2
A0C,4,4,0.36199999999999993,2,2
A0C,4,5,0.2515,1,2
A0C,4,6,0.1435,0,2
A0C,4,7,0.05049999999999999,0,2
A0C,4,8,-0.03549999999999999,0,2
A0C,4,9,-0.035499999999999976,0,2
A0C,4,10,-0.030999999999999986,0,2
A0C,4,11,-0.03449999999999999,0,2
A0C,4,12,0.072,0,2
C0A,4,1,0.4825,2,2
C0A,4,2,0.46749999999999997,2,2
C0A,4,3,0.413,2,2
C0A,4,4,0.329,2,2
C0A,4,5,0.4865,2,2
C0A,4,6,0.36699999999999994,2,2
C0A,4,7,-0.014499999999999999,0,2
C0A,4,8,-0.021000000000000005,0,2
C0A,4,9,-0.032,0,2
C0A,4,10,-0.044499999999999984,0,2
C0A,4,11,-0.040999999999999995,0,2
C0A,4,12,-0.0024999999999999745,0,2
C0B,4,1,0.4755,2,2
C0B,4,2,0.44049999999999995,2,2
C0B,4,3,0.3075,2,2
C0B,4,4,0.32499999999999996,2,2
C0B,4,5,0.23950000000000005,2,2
C0B,4,6,0.1555,1,2
C0B,4,7,0.05449999999999999,0,2
C0B,4,8,-0.037000000000000005,0,2
C0B,4,9,-0.04600000000000001,0,2
C0B,4,10,-0.052000000000000005,0,2
C0B,4,11,-0.044,0,2
C0B,4,12,-0.0034999999999999754,0,2
C0C,4,1,0.5209999999999999,2,2
C0C,4,2,0.506,2,2
C0C,4,3,0.371,2,2
C0C,4,4,0.3065,2,2
C0C,4,5,0.28,2,2
C0C,4,6,0.26849999999999996,2,2
C0C,4,7,-0.025000000000000022,0,2
C0C,4,8,-0.03499999999999999,0,2
C0C,4,9,-0.04300000000000001,0,2
C0C,4,10,-0.0465,0,2
C0C,4,11,-0.03549999999999999,0,2
C0C,4,12,-0.0005000000000000004,0,2
CTRL,4,1,0.006000000000000001,0,6
CTRL,4,2,0.0001666666666666807,0,6
CTRL,4,3,-0.0038333333333333366,0,6
CTRL,4,4,-0.002166666666666678,0,6
CTRL,4,5,-0.0036666666666666605,0,6
CTRL,4,6,-0.0021666666666666687,0,6
CTRL,4,7,-0.0036666666666666653,0,6
CTRL,4,8,-0.004666666666666666,0,6
CTRL,4,9,0.002333333333333326,0,6
CTRL,4,10,0.000833333333333334,0,6
CTRL,4,11,0.001666666666666668,0,6
CTRL,4,12,0.005499999999999991,0,6
P0A,4,1,-0.007000000000000006,0,2
P0A,4,2,-0.0715,0,2
P0A,4,3,-0.044499999999999984,0,2
P0A,4,4,-0.046999999999999986,0,2
P0A,4,5,-0.04550000000000001,0,2
P0A,4,6,-0.045999999999999985,0,2
P0A,4,7,-0.045499999999999985,0,2
P0A,4,8,-0.05499999999999999,0,2
P0A,4,9,-0.0335,0,2
P0A,4,10,-0.027999999999999997,0,2
P0A,4,11,0.0020000000000000018,0,2
P0A,4,12,-0.0005000000000000004,0,2
P0B,4,1,0.0015000000000000013,0,2
P0B,4,2,-0.02049999999999999,0,2
P0B,4,3,-0.029499999999999985,0,2
P0B,4,4,-0.00399999999999999,0,2
P0B,4,5,-0.035,0,2
P0B,4,6,-0.03799999999999999,0,2
P0B,4,7,-0.04149999999999998,0,2
P0B,4,8,-0.043,0,2
P0B,4,9,-0.02099999999999999,0,2
P0B,4,10,-0.009500000000000008,0,2
P0B,4,11,0.005500000000000005,0,2
P0B,4,12,0.0010000000000000009,0,2
P0C,4,1,0.0020000000000000018,0,2
P0C,4,2,-0.04199999999999998,0,2
P0C,4,3,-0.06399999999999999,0,2
P0C,4,4,-0.028999999999999998,0,2
P0C,4,5,-0.03950000000000001,0,2
P0C,4,6,-0.008499999999999994,0,2
P0C,4,7,-0.014499999999999985,0,2
P0C,4,8,-0.03849999999999999,0,2
P0C,4,9,-0.019999999999999983,0,2
P0C,4,10,-0.014499999999999999,0,2
P0C,4,11,-0.273,0,2
P0C,4,12,-0.21899999999999997,0,2
